step,iteration,ep,ep_len,reward,loss,pg_loss,vf_loss,entropy,kl,explained_var,clip_frac,lr,fps,n_dyn_imaged_ep,n_dyn_detected_ep,battery_end_pct
33696,75,134,276,19.5793,0.06636,-0.00467,0.03369,-0.0241,0.000617,-0.0309,0.0059,0.00025,3,18,19,100.0
33984,76,135,270,16.9012,0.04264,-0.00451,0.0455,-0.0403,0.000812,0.03,0.00651,0.00025,2,14,15,87.9
34272,77,136,1,-4.0,0.19034,-0.00861,0.10441,-0.0749,0.00271,0.0261,0.0184,0.00025,3,23,23,100.0
34560,78,137,306,72.7302,0.15813,-0.00707,0.07794,-0.099,0.001738,0.1208,0.02734,0.00025,2,17,17,93.8
34848,79,138,251,25.1607,0.13155,-0.00688,0.05625,-0.111,0.004868,0.0462,0.05009,0.00025,2,20,21,99.5
35136,80,138,251,25.1607,0.01632,-0.00092,0.01653,-0.0083,0.000471,-0.1647,0.00243,0.00025,1,20,21,99.5
35424,81,139,465,91.6712,0.18645,-0.01007,0.08885,-0.2513,0.005975,-0.0216,0.07135,0.00025,1,14,14,92.6
35712,82,140,315,56.1774,0.13432,-0.00479,0.06396,-0.0679,0.001511,-0.1522,0.01441,0.00025,1,25,25,91.5
36000,83,141,285,31.3119,0.02394,-0.00167,0.01711,-0.0051,0.000173,-0.2184,0.00208,0.00025,2,26,26,93.4
36288,84,142,297,28.8275,0.04127,-0.00643,0.04533,-0.0745,0.002061,0.0369,0.01667,0.00025,2,24,24,87.4
36576,85,143,247,81.0911,0.11388,-0.00827,0.07044,-0.0467,0.00122,-0.0531,0.01137,0.00025,2,23,23,100.0
36864,86,144,278,52.941,0.15508,-0.00609,0.0855,-0.0693,0.001259,-0.0922,0.00972,0.00025,2,22,22,97.4
37152,87,146,264,25.9522,0.09559,-0.0053,0.0378,-0.0283,0.000913,-0.1715,0.00894,0.00025,1,22,22,100.0
37440,88,146,264,25.9522,0.03279,-0.0066,0.0261,-0.0304,0.000519,0.0814,0.00668,0.00025,1,22,22,100.0
37728,89,147,1,-4.0,0.16679,-0.00605,0.08616,-0.0724,0.00152,0.0089,0.01571,0.00025,1,22,23,94.2
38016,90,148,326,100.6728,0.06655,-0.00305,0.04138,-0.0209,0.00111,0.1766,0.00408,0.00025,2,36,36,100.0
38304,91,149,377,75.0377,0.05914,-0.00204,0.02859,-0.011,0.000951,0.1172,0.00347,0.00025,1,26,26,99.9
38592,92,150,238,21.7442,0.11928,-0.00568,0.05801,-0.0396,0.001508,0.0897,0.01146,0.00025,1,19,19,99.3
38880,93,151,262,78.0678,0.18933,-0.00462,0.09874,-0.0686,0.00134,0.0393,0.00911,0.00025,2,19,19,100.0
39168,94,152,408,94.3383,0.11489,-0.0074,0.07372,-0.0536,0.002053,0.1451,0.01207,0.00025,2,28,28,99.4
39456,95,153,239,93.0258,0.07639,-0.0057,0.05527,-0.0718,0.006025,-0.0631,0.01684,0.00025,2,23,23,100.0
39744,96,154,264,26.6398,0.09532,-0.00819,0.05726,-0.0774,0.003432,-0.0608,0.02951,0.00025,2,23,24,84.0
40032,97,155,282,53.2127,0.16957,-0.00715,0.05581,-0.0557,0.001621,-0.144,0.01658,0.00025,2,15,15,100.0
40320,98,156,362,91.3159,0.07925,-0.00915,0.06484,-0.0997,0.001932,-0.0608,0.01918,0.00025,2,24,25,99.0
40608,99,157,260,26.5277,0.14885,-0.00782,0.09002,-0.1012,0.004459,-0.0415,0.02778,0.00025,2,23,24,100.0
40896,100,157,260,26.5277,0.08608,-0.00633,0.04665,-0.0726,0.001656,-0.0598,0.01163,0.00025,3,23,24,100.0
41184,101,158,379,67.637,0.09989,-0.01082,0.0711,-0.0998,0.003328,0.1146,0.02092,0.00025,2,31,31,99.3
41472,102,159,270,33.2271,0.01756,-0.00125,0.01051,-0.0203,0.00027,-1.1996,0.00165,0.00025,2,26,27,100.0
41760,103,160,384,49.2706,0.14876,-0.0068,0.05475,-0.0604,0.002418,-0.0148,0.01536,0.00025,2,25,26,100.0
42048,104,161,287,96.3998,0.07044,-0.0073,0.04944,-0.0533,0.00354,-0.0761,0.01241,0.00025,1,28,28,99.3
42336,105,162,277,37.7241,0.12317,-0.00712,0.05273,-0.0306,0.001491,-0.1633,0.00903,0.00025,1,31,31,100.0
42624,106,163,1,-4.0,0.01364,-0.00107,0.00659,-0.0089,0.000131,0.14,0.00252,0.00025,1,20,20,99.3
42912,107,164,1,-4.0,0.16683,-0.00633,0.07673,-0.0589,0.001733,0.0081,0.01719,0.00025,1,24,24,100.0
43200,108,165,1,-4.0,0.04474,-0.00395,0.02539,-0.0231,0.002019,-0.1855,0.00929,0.00025,1,19,19,87.7
43488,1,165,352.0,20.4817,,,,,,,,,107,18,19,87.7
43776,2,166,301,47.4089,0.08975,-0.00488,0.03621,-0.0249,0.000526,-0.2527,0.00434,0.00025,2,36,36,99.3
44064,3,167,354,50.4625,0.01715,-0.00017,0.01146,-0.0019,0.0,-0.8761,0.0,0.00025,2,40,40,99.0
44352,4,168,363,49.1827,0.07267,-0.00174,0.02837,-0.0129,0.000394,-0.0016,0.00191,0.00025,2,40,40,100.0
