time_s,x_m,y_m,z_m,vx_ms,vy_ms,vz_ms,sigma0,sigma1,sigma2,cx,cy,cz,battery_pct,action_name,action_idx
102.0,-3604098.741,-6027016.504,756966.211,-503.674,1231.721,7392.012,0.026606,0.018501,0.006632,0.084160,-0.075848,0.993561,99.98,DRIFT,48
103.0,-3604590.209,-6025764.216,764356.199,-499.592,1238.541,7391.128,0.026097,0.015059,0.002763,0.069529,-0.075113,0.994748,99.98,DRIFT,48
104.0,-3605081.677,-6024511.928,771746.186,-495.509,1245.361,7390.243,0.025589,0.011617,-0.001107,0.054870,-0.074360,0.995721,99.98,DRIFT,48
105.0,-3605573.145,-6023259.639,779136.174,-491.427,1252.182,7389.359,0.025081,0.008175,-0.004976,0.040192,-0.073592,0.996478,99.98,DRIFT,48
106.0,-3606064.613,-6022007.351,786526.162,-487.344,1259.002,7388.474,0.024573,0.004734,-0.008846,0.025506,-0.072807,0.997020,99.98,DRIFT,48
107.0,-3606556.081,-6020755.063,793916.149,-483.261,1265.822,7387.589,0.024064,0.001292,-0.012715,0.010821,-0.072007,0.997345,99.98,DRIFT,48
108.0,-3607047.549,-6019502.774,801306.137,-479.179,1272.642,7386.705,0.023556,-0.002150,-0.016584,-0.003854,-0.071192,0.997455,99.98,DRIFT,48
109.0,-3607539.017,-6018250.486,808696.125,-475.096,1279.462,7385.820,0.023048,-0.005592,-0.020454,-0.018510,-0.070362,0.997350,99.98,DRIFT,48
110.0,-3608030.485,-6016998.198,816086.112,-471.013,1286.282,7384.935,0.022540,-0.009034,-0.024323,-0.033135,-0.069519,0.997030,99.98,DRIFT,48
111.0,-3608521.953,-6015745.909,823476.100,-466.931,1293.103,7384.051,0.022031,-0.012476,-0.028192,-0.047723,-0.068663,0.996498,99.98,DRIFT,48
112.0,-3609013.422,-6014493.621,830866.087,-462.848,1299.923,7383.166,0.021523,-0.015918,-0.032062,-0.062262,-0.067795,0.995755,99.98,DRIFT,48
113.0,-3609504.890,-6013241.333,838256.075,-458.766,1306.743,7382.282,0.021015,-0.019359,-0.035931,-0.076745,-0.066915,0.994803,99.98,DRIFT,48
114.0,-3609996.358,-6011989.044,845646.063,-454.683,1313.563,7381.397,0.020507,-0.022801,-0.039800,-0.091162,-0.066024,0.993645,99.98,DRIFT,48
115.0,-3610487.826,-6010736.756,853036.050,-450.600,1320.383,7380.512,0.019998,-0.026243,-0.043670,-0.105505,-0.065122,0.992284,99.98,DRIFT,48
116.0,-3610979.294,-6009484.468,860426.038,-446.518,1327.203,7379.628,0.019490,-0.029685,-0.047539,-0.119766,-0.064211,0.990724,99.98,DRIFT,48
117.0,-3611470.762,-6008232.179,867816.026,-442.435,1334.024,7378.743,0.018982,-0.033127,-0.051409,-0.133936,-0.063290,0.988967,99.98,DRIFT,48
118.0,-3611962.230,-6006979.891,875206.013,-438.352,1340.844,7377.859,0.018474,-0.036569,-0.055278,-0.148007,-0.062362,0.987018,99.98,DRIFT,48
119.0,-3612453.698,-6005727.603,882596.001,-434.270,1347.664,7376.974,0.017965,-0.040011,-0.059147,-0.161973,-0.061426,0.984882,99.98,DRIFT,48
120.0,-3612945.166,-6004475.314,889985.989,-430.187,1354.484,7376.089,0.017457,-0.043452,-0.063017,-0.175825,-0.060483,0.982562,99.98,DRIFT,48
121.0,-3613313.928,-6003019.096,897345.668,-426.090,1361.258,7374.954,0.016434,-0.039839,-0.060256,-0.162218,-0.055947,0.985168,99.98,DRIFT,48
122.0,-3613682.689,-6001562.878,904705.347,-421.993,1368.032,7373.818,0.015410,-0.036226,-0.057496,-0.148490,-0.051372,0.987579,99.98,DRIFT,48
123.0,-3614051.450,-6000106.661,912065.027,-417.896,1374.806,7372.682,0.014387,-0.032613,-0.054736,-0.134650,-0.046758,0.989789,99.98,DRIFT,48
124.0,-3614420.212,-5998650.443,919424.706,-413.799,1381.580,7371.546,0.013363,-0.028999,-0.051975,-0.120704,-0.042108,0.991795,99.98,DRIFT,48
125.0,-3614788.973,-5997194.225,926784.386,-409.702,1388.354,7370.410,0.012340,-0.025386,-0.049215,-0.106662,-0.037426,0.993591,99.98,DRIFT,48
126.0,-3615157.734,-5995738.007,934144.065,-405.604,1395.128,7369.275,0.011317,-0.021773,-0.046454,-0.092532,-0.032714,0.995172,99.98,DRIFT,48
127.0,-3615526.496,-5994281.789,941503.744,-401.507,1401.902,7368.139,0.010293,-0.018159,-0.043694,-0.078322,-0.027976,0.996535,99.98,DRIFT,48
128.0,-3615895.257,-5992825.571,948863.424,-397.410,1408.676,7367.003,0.009270,-0.014546,-0.040934,-0.064042,-0.023213,0.997677,99.98,DRIFT,48
129.0,-3616264.019,-5991369.353,956223.103,-393.313,1415.450,7365.867,0.008246,-0.010933,-0.038173,-0.049701,-0.018430,0.998594,99.98,DRIFT,48
130.0,-3616632.780,-5989913.135,963582.782,-389.216,1422.224,7364.732,0.007223,-0.007319,-0.035413,-0.035309,-0.013629,0.999284,99.98,DRIFT,48
131.0,-3617001.541,-5988456.917,970942.462,-385.119,1428.998,7363.596,0.006199,-0.003706,-0.032652,-0.020875,-0.008813,0.999743,99.98,DRIFT,48
132.0,-3617370.303,-5987000.699,978302.141,-381.022,1435.772,7362.460,0.005176,-0.000093,-0.029892,-0.006409,-0.003987,0.999972,99.98,DRIFT,48
133.0,-3617739.064,-5985544.481,985661.820,-376.925,1442.546,7361.324,0.004153,0.003520,-0.027132,0.008079,0.000847,0.999967,99.98,DRIFT,48
134.0,-3618107.825,-5984088.263,993021.500,-372.828,1449.320,7360.189,0.003129,0.007134,-0.024371,0.022578,0.005685,0.999729,99.98,DRIFT,48
